value_binned,n,p,bin_numeric,cluster_removed,h3_resolution
"[70,80)",173,0.0370291095890411,80,0,6
"[80,90)",155,0.0331763698630137,90,0,6
"[90,100)",122,0.0261130136986301,100,0,6
"[100,110)",119,0.0254708904109589,110,0,6
"[110,120)",94,0.0201198630136986,120,0,6
"[120,130)",91,0.0194777397260274,130,0,6
"[130,140)",94,0.0201198630136986,140,0,6
"[140,150)",62,0.0132705479452055,150,0,6
"[150,160)",80,0.0171232876712329,160,0,6
"[160,170)",55,0.0117722602739726,170,0,6
"[170,180)",67,0.0143407534246575,180,0,6
"[180,190)",58,0.0124143835616438,190,0,6
"[190,200)",61,0.0130565068493151,200,0,6
"[200,210)",46,0.0098458904109589,210,0,6
"[210,220)",45,0.00963184931506849,220,0,6
"[220,230)",31,0.00663527397260274,230,0,6
"[230,240)",50,0.0107020547945205,240,0,6
"[240,250)",33,0.00706335616438356,250,0,6
"[250,260)",28,0.00599315068493151,260,0,6
"[260,270)",19,0.00406678082191781,270,0,6
"[270,280)",38,0.00813356164383562,280,0,6
"[280,290)",10,0.00214041095890411,290,0,6
"[290,300)",31,0.00663527397260274,300,0,6
"[300,310)",20,0.00428082191780822,310,0,6
"[310,320)",18,0.0038527397260274,320,0,6
"[320,330)",,,330,0,6
"[330,340)",16,0.00342465753424658,340,0,6
"[340,350)",18,0.0038527397260274,350,0,6
"[350,360)",17,0.00363869863013699,360,0,6
"[360,370)",13,0.00278253424657534,370,0,6
"[370,380)",12,0.00256849315068493,380,0,6
"[380,390)",10,0.00214041095890411,390,0,6
"[390,400)",,,400,0,6
"[400,410)",12,0.00256849315068493,410,0,6
"[410,420)",,,420,0,6
"[420,430)",11,0.00235445205479452,430,0,6
"[430,440)",,,440,0,6
"[440,450)",,,450,0,6
"[450,460)",,,460,0,6
"[460,470)",,,470,0,6
"[470,480)",,,480,0,6
"[480,490)",,,490,0,6
"[490,500)",,,500,0,6
"[500,510)",,,510,0,6
"[510,520)",,,520,0,6
"[520,530)",,,530,0,6
"[530,540)",,,540,0,6
"[540,550)",12,0.00256849315068493,550,0,6
"[550,560)",,,560,0,6
"[560,570)",,,570,0,6
"[570,580)",,,580,0,6
"[580,590)",,,590,0,6
"[590,600)",,,600,0,6
"[600,610)",,,610,0,6
"[610,620)",,,620,0,6
"[620,630)",,,630,0,6
"[630,640)",,,640,0,6
"[640,650)",,,650,0,6
"[650,660)",,,660,0,6
"[660,670)",,,670,0,6
"[670,680)",,,680,0,6
"[680,690)",,,690,0,6
"[690,700)",,,700,0,6
"[700,710)",,,710,0,6
"[710,720)",,,720,0,6
"[720,730)",,,730,0,6
"[730,740)",,,740,0,6
"[740,750)",,,750,0,6
"[750,760)",,,760,0,6
"[760,770)",,,770,0,6
"[770,780)",,,780,0,6
"[780,790)",,,790,0,6
"[790,800)",,,800,0,6
"[800,810)",,,810,0,6
"[810,820)",,,820,0,6
"[820,830)",,,830,0,6
"[830,840)",,,840,0,6
"[840,850)",,,850,0,6
"[880,890)",,,890,0,6
"[900,910)",,,910,0,6
"[910,920)",,,920,0,6
"[920,930)",,,930,0,6
"[930,940)",,,940,0,6
"[950,960)",,,960,0,6
"[960,970)",,,970,0,6
"[1e+03,1.01e+03)",,,1010,0,6
"[1.01e+03,1.02e+03)",,,1020,0,6
"[1.06e+03,1.07e+03)",,,1070,0,6
"[1.07e+03,1.08e+03)",,,1080,0,6
"[1.13e+03,1.14e+03)",,,1140,0,6
