cluster,week,year,n_days_per_cluster,n_days_per_time,p_days_per_cluster,wt,n_data
0,2018-07-08,2018,34592,66214,0.522427281239617,165.443682604887,66214
1,2018-07-08,2018,29798,66214,0.450025674328692,165.443682604887,66214
3,2018-07-08,2018,886,66214,0.0133808560123237,165.443682604887,66214
2,2018-07-08,2018,938,66214,0.0141661884193675,165.443682604887,66214
0,2018-07-15,2018,48935,82382,0.594001116748804,132.974290500352,82382
1,2018-07-15,2018,31127,82382,0.377837391663227,132.974290500352,82382
3,2018-07-15,2018,1188,82382,0.0144206258648734,132.974290500352,82382
2,2018-07-15,2018,1132,82382,0.0137408657230949,132.974290500352,82382
0,2018-07-22,2018,69018,106114,0.650413706014287,103.235086793449,106114
1,2018-07-22,2018,33841,106114,0.318911736434401,103.235086793449,106114
3,2018-07-22,2018,1868,106114,0.0176037092183878,103.235086793449,106114
2,2018-07-22,2018,1387,106114,0.013070848332925,103.235086793449,106114
0,2018-07-29,2018,63970,100464,0.636745500875936,109.040930084408,100464
1,2018-07-29,2018,33151,100464,0.329978897913681,109.040930084408,100464
2,2018-07-29,2018,1484,100464,0.0147714604236343,109.040930084408,100464
3,2018-07-29,2018,1859,100464,0.0185041407867495,109.040930084408,100464
0,2018-08-05,2018,64394,100325,0.641853974582607,109.192005980563,100325
1,2018-08-05,2018,32563,100325,0.324575130824819,109.192005980563,100325
3,2018-08-05,2018,1857,100325,0.0185098430102168,109.192005980563,100325
2,2018-08-05,2018,1511,100325,0.0150610515823573,109.192005980563,100325
0,2018-08-12,2018,62746,100241,0.625951456988657,109.283506748736,100241
1,2018-08-12,2018,34117,100241,0.340349757085424,109.283506748736,100241
3,2018-08-12,2018,1785,100241,0.01780708492533,109.283506748736,100241
2,2018-08-12,2018,1593,100241,0.0158917010005886,109.283506748736,100241
0,2018-08-19,2018,59284,92689,0.639601247181435,118.187573498473,92689
1,2018-08-19,2018,30015,92689,0.323824833583273,118.187573498473,92689
3,2018-08-19,2018,1749,92689,0.0188695530213941,118.187573498473,92689
2,2018-08-19,2018,1641,92689,0.0177043662138981,118.187573498473,92689
0,2018-08-26,2018,53311,85195,0.625752685016726,128.583696226304,85195
1,2018-08-26,2018,28904,85195,0.339268736428194,128.583696226304,85195
3,2018-08-26,2018,1536,85195,0.0180292270673162,128.583696226304,85195
2,2018-08-26,2018,1444,85195,0.0169493514877634,128.583696226304,85195
0,2018-09-02,2018,61908,92200,0.671453362255965,118.814403470716,92200
1,2018-09-02,2018,27808,92200,0.301605206073753,118.814403470716,92200
2,2018-09-02,2018,1104,92200,0.0119739696312364,118.814403470716,92200
3,2018-09-02,2018,1380,92200,0.0149674620390456,118.814403470716,92200
0,2018-09-09,2018,66244,98577,0.672002596954665,111.128234780933,98577
2,2018-09-09,2018,1243,98577,0.0126094322204977,111.128234780933,98577
1,2018-09-09,2018,29567,98577,0.299938119439626,111.128234780933,98577
3,2018-09-09,2018,1523,98577,0.0154498513852116,111.128234780933,98577
0,2018-09-16,2018,64633,94812,0.681696409737164,115.541155128043,94812
1,2018-09-16,2018,27540,94812,0.290469560815087,115.541155128043,94812
3,2018-09-16,2018,1510,94812,0.0159262540606674,115.541155128043,94812
2,2018-09-16,2018,1129,94812,0.0119077753870818,115.541155128043,94812
0,2018-09-23,2018,65981,95519,0.690763094253499,114.685957767565,95519
1,2018-09-23,2018,26898,95519,0.281598425444153,114.685957767565,95519
3,2018-09-23,2018,1494,95519,0.0156408672620107,114.685957767565,95519
2,2018-09-23,2018,1146,95519,0.0119976130403375,114.685957767565,95519
0,2018-09-30,2018,59199,83885,0.70571615902724,130.591738689873,83885
1,2018-09-30,2018,23041,83885,0.274673660368361,130.591738689873,83885
3,2018-09-30,2018,1020,83885,0.0121595040829707,130.591738689873,83885
2,2018-09-30,2018,625,83885,0.00745067652142815,130.591738689873,83885
0,2018-10-07,2018,61259,87577,0.699487308311543,125.086358290419,87577
1,2018-10-07,2018,24641,87577,0.281363828402434,125.086358290419,87577
2,2018-10-07,2018,653,87577,0.00745629560272674,125.086358290419,87577
3,2018-10-07,2018,1024,87577,0.0116925676832958,125.086358290419,87577
0,2018-10-14,2018,62988,90818,0.693562950075976,120.62243167654,90818
1,2018-10-14,2018,25937,90818,0.285593164350679,120.62243167654,90818
2,2018-10-14,2018,720,90818,0.00792794379968729,120.62243167654,90818
3,2018-10-14,2018,1173,90818,0.0129159417736572,120.62243167654,90818
0,2018-10-21,2018,55446,82866,0.669104337122584,132.197620254387,82866
1,2018-10-21,2018,25272,82866,0.304974295851133,132.197620254387,82866
2,2018-10-21,2018,904,82866,0.0109091786740038,132.197620254387,82866
3,2018-10-21,2018,1244,82866,0.0150121883522796,132.197620254387,82866
0,2018-10-28,2018,58395,86902,0.671963821315965,126.05795033486,86902
1,2018-10-28,2018,26650,86902,0.306667280384801,126.05795033486,86902
3,2018-10-28,2018,1129,86902,0.0129916457618927,126.05795033486,86902
2,2018-10-28,2018,728,86902,0.00837725253734091,126.05795033486,86902
0,2018-11-04,2018,58730,86522,0.678786898129955,126.611590115809,86522
1,2018-11-04,2018,26070,86522,0.301310649314625,126.611590115809,86522
3,2018-11-04,2018,1127,86522,0.0130255888675713,126.611590115809,86522
2,2018-11-04,2018,595,86522,0.00687686368784818,126.611590115809,86522
0,2018-11-11,2018,50611,80429,0.629263076750923,136.203210284848,80429
1,2018-11-11,2018,28053,80429,0.348792102351142,136.203210284848,80429
3,2018-11-11,2018,1114,80429,0.0138507254845889,136.203210284848,80429
2,2018-11-11,2018,651,80429,0.00809409541334593,136.203210284848,80429
0,2018-11-18,2018,43701,71278,0.613106428350964,153.689609697242,71278
1,2018-11-18,2018,26021,71278,0.365063553971773,153.689609697242,71278
